FE_MW,humidity,precipation,max_temp,min_temp,wind_speed
194794.0,75.38,0.0,28.08,8.49,5.24
196498.0,78.09,0.0,27.75,7.34,6.56
194996.0,83.95,0.0,28.56,5.73,5.87
214718.0,88.07,0.0,28.01,5.58,4.53
195819.0,80.64,0.02,29.83,6.49,6.44
183840.0,81.59,0.0,27.98,9.73,6.34
201870.0,70.3,0.02,30.77,15.28,6.33
194871.0,74.0,0.0,32.68,13.09,3.29
209051.0,85.67,1.3,28.08,11.65,12.74
217490.0,94.9,0.41,22.77,6.7,6.61
216611.0,86.03,0.54,19.74,9.53,9.8
194463.0,83.9,0.35,16.83,4.96,6.71
182719.0,82.82,0.06,16.07,0.7,7.38
193628.0,82.95,0.0,15.78,1.44,5.6
205489.0,86.14,0.0,18.78,-1.87,6.34
204570.0,81.06,0.0,21.26,-2.44,7.15
202078.0,67.96,0.0,19.72,-1.95,6.89
196961.0,63.18,0.19,26.06,9.04,6.94
184174.0,86.91,0.0,24.28,3.13,5.49
178886.0,83.16,0.0,23.67,2.07,4.2
204376.0,86.04,0.0,26.34,2.04,7.11
189570.0,73.03,0.0,31.02,7.13,5.3
183609.0,69.25,0.0,32.64,6.56,6.27
194124.0,75.67,0.0,31.99,9.09,6.06
189616.0,79.73,0.0,32.72,7.52,4.44
174962.0,75.46,0.25,36.28,15.86,4.18
165403.0,68.88,0.23,38.72,19.53,12.7
190883.0,59.66,0.0,38.14,19.24,11.53
200799.0,65.06,0.05,35.06,16.65,8.11
203588.0,71.94,0.16,33.44,18.79,6.99
202836.0,62.11,0.01,32.92,13.12,5.92
201608.0,71.47,0.0,32.0,12.74,6.69
193526.0,72.38,0.0,34.7,15.53,5.45
188735.0,68.99,0.0,37.33,14.59,5.13
205631.0,65.81,0.0,39.23,15.0,8.48
202326.0,63.16,0.1,36.54,23.32,6.06
197394.0,67.28,0.03,37.75,18.43,4.64
195127.0,60.39,0.0,36.07,16.92,3.8
190250.0,58.31,0.0,38.5,13.62,5.75
174196.0,47.0,0.0,39.85,16.78,8.88
172232.0,61.09,0.0,41.01,18.51,9.51
194698.0,63.55,0.01,43.17,24.1,7.68
199454.0,58.77,0.13,41.5,28.11,7.08
188364.0,69.27,0.15,45.98,29.19,13.14
192121.0,66.2,0.09,40.64,29.52,12.78
192016.0,70.91,0.02,39.21,23.89,5.94
184130.0,78.38,0.01,40.31,21.89,7.94
170526.0,72.06,0.0,41.13,21.55,6.34
189178.0,67.41,0.01,45.15,25.33,9.23
194463.0,74.19,0.0,50.05,30.5,12.21
190881.0,80.98,0.0,45.49,28.19,9.06
191881.0,70.79,0.0,46.21,24.99,7.85
190169.0,64.87,0.0,48.78,29.32,8.85
177294.0,61.67,0.0,46.83,26.89,8.87
173322.0,61.38,0.01,43.89,30.8,11.76
201090.0,64.08,0.56,39.53,29.93,6.85
199720.0,65.08,0.22,44.83,29.46,7.69
182642.0,67.37,0.0,48.03,28.44,6.62
182850.0,64.36,0.0,48.4,29.69,6.1
188927.0,68.12,0.19,49.63,29.14,6.86
169235.0,59.87,0.0,51.8,31.21,9.28
144633.0,40.52,0.0,54.35,29.57,8.68
174159.0,45.32,0.0,55.17,30.27,9.93
173050.0,41.01,0.0,58.02,34.08,9.88
174819.0,37.49,0.0,64.37,40.24,18.02
172242.0,37.8,0.0,62.4,36.39,6.64
170487.0,41.56,0.0,60.64,37.32,6.93
152310.0,41.84,0.0,64.6,36.18,10.57
144749.0,41.73,0.11,61.09,42.49,12.2
172880.0,49.07,1.08,58.43,42.5,16.19
180867.0,77.1,7.06,48.12,41.04,11.68
183823.0,86.19,4.66,49.07,38.95,7.57
182674.0,76.96,0.33,50.77,40.57,8.39
176534.0,67.65,0.0,56.54,35.21,7.69
153149.0,64.58,0.0,58.38,37.69,6.07
143355.0,70.61,0.1,58.92,39.11,4.33
173588.0,70.28,0.0,60.11,40.94,11.3
182771.0,67.23,0.0,65.31,42.59,10.33
174865.0,40.04,0.0,65.72,41.16,8.5
174707.0,47.55,0.0,69.92,40.49,9.62
176091.0,35.76,0.01,71.29,48.07,15.26
162417.0,38.23,0.0,76.85,46.06,13.08
150836.0,37.98,0.0,79.41,47.31,7.59
174727.0,27.18,0.0,70.67,53.34,20.83
177948.0,28.6,0.02,72.17,50.38,10.64
172678.0,29.55,0.0,76.64,49.59,7.24
174905.0,27.15,0.0,75.31,54.13,19.38
159627.0,29.84,0.0,72.3,50.71,12.31
148311.0,32.66,0.0,75.59,50.17,9.54
138510.0,29.3,0.0,77.51,48.07,7.29
168726.0,24.02,0.0,77.87,51.05,7.99
183184.0,31.64,0.0,70.45,54.98,24.17
184810.0,22.03,0.0,62.85,54.38,16.76
179128.0,24.33,0.0,63.94,50.63,8.57
174381.0,30.89,0.05,67.2,51.98,7.79
158020.0,33.7,0.0,71.16,44.28,8.19
145769.0,32.82,0.01,70.0,50.54,14.38
174231.0,35.47,0.02,76.25,50.58,9.8
171532.0,34.12,0.11,77.36,51.56,6.41
174934.0,24.38,0.0,80.59,48.59,6.5
172950.0,22.39,0.0,85.06,48.68,6.93
171665.0,22.46,0.0,87.95,49.64,12.43
156045.0,24.27,0.0,89.82,52.64,7.93
153326.0,16.36,0.0,91.99,57.39,19.93
179147.0,12.22,0.0,83.16,60.15,17.25
178870.0,18.46,0.0,75.31,56.5,14.99
174632.0,19.58,0.0,79.32,51.0,11.03
175949.0,19.62,0.0,84.36,52.79,12.71
174990.0,15.25,0.0,86.77,52.4,9.9
162744.0,24.08,0.0,85.33,58.08,18.88
149206.0,35.91,0.11,74.37,63.5,17.91
173518.0,29.13,0.05,75.41,63.4,17.07
175316.0,32.13,0.27,78.42,61.13,20.06
186101.0,37.7,0.0,77.5,61.29,12.93
205720.0,39.01,0.44,78.46,59.31,10.15
195990.0,44.01,0.09,80.68,56.82,9.01
158121.0,21.78,0.0,83.13,56.27,8.6
145519.0,28.49,0.0,82.89,55.42,9.33
176485.0,29.59,0.0,86.25,60.14,17.14
178640.0,52.22,1.15,70.77,60.87,19.4
174550.0,48.12,0.0,76.05,52.21,10.31
171826.0,41.24,0.02,84.62,54.76,13.53
173305.0,29.67,0.0,73.15,59.93,19.57
151787.0,29.71,0.02,76.89,56.48,10.2
142763.0,30.19,0.0,82.37,54.33,8.36
175025.0,25.21,0.0,85.86,57.91,9.13
182360.0,22.29,0.0,86.18,58.84,11.65
174651.0,27.25,0.0,88.1,58.49,9.11
172361.0,23.32,0.0,89.99,62.0,7.42
174343.0,24.1,0.0,89.27,67.0,14.94
162242.0,33.87,0.15,90.54,67.23,18.26
166929.0,23.65,0.01,88.91,60.31,11.9
199706.0,52.41,2.97,80.61,60.04,22.78
182653.0,59.63,0.12,67.85,57.12,8.92
186784.0,61.48,2.28,72.27,56.51,6.91
203728.0,52.12,0.24,79.16,57.51,8.48
216476.0,41.83,0.0,83.65,56.14,8.54
183486.0,37.89,0.0,89.47,60.87,10.0
175961.0,32.24,0.04,91.11,64.86,6.71
198109.0,20.74,0.0,88.14,66.68,18.63
217274.0,27.95,0.0,90.67,67.9,17.2
195824.0,35.56,0.01,92.21,66.37,13.29
181384.0,26.17,0.04,89.35,72.19,17.16
174417.0,40.51,0.04,81.23,67.88,15.61
149701.0,44.49,0.61,80.77,64.9,9.5
146425.0,51.11,0.33,81.2,59.84,8.57
174364.0,31.14,1.14,82.64,62.65,9.0
171444.0,42.15,0.12,88.46,56.55,7.68
174176.0,35.04,0.0,87.31,65.06,12.5
182669.0,35.43,0.06,88.47,65.56,11.04
188859.0,32.53,0.0,92.08,64.81,10.69
182733.0,32.88,0.04,87.25,67.41,15.25
191179.0,39.72,0.03,84.39,67.01,13.51
209179.0,37.82,0.29,89.21,66.28,6.08
216467.0,31.84,0.01,91.7,64.78,9.68
183215.0,28.29,0.13,90.53,66.65,14.64
185164.0,31.08,0.22,88.9,65.45,8.9
202929.0,32.32,0.09,86.1,67.28,12.52
194217.0,37.3,0.27,89.53,62.64,15.04
177628.0,38.2,0.0,90.24,67.49,16.03
212460.0,32.87,0.0,94.12,67.26,10.28
239248.0,26.78,0.01,96.66,69.5,10.42
249663.0,34.86,0.03,97.72,73.32,14.53
250671.0,32.18,0.38,97.84,71.58,11.97
221283.0,27.26,0.09,92.93,75.44,12.7
183315.0,40.93,0.85,86.64,68.78,13.54
177071.0,51.4,2.19,81.05,65.04,11.53
194045.0,61.13,0.99,84.09,66.49,8.52
186282.0,57.74,1.72,81.14,66.53,11.03
201789.0,56.69,2.18,81.19,67.55,6.84
239435.0,63.32,0.26,83.74,67.61,8.32
255675.0,47.53,0.87,89.22,68.01,6.26
200924.0,41.94,0.01,93.3,69.19,9.77
208007.0,32.61,0.0,96.31,69.28,9.24
227990.0,28.47,0.09,99.82,71.2,8.73
220306.0,30.08,0.0,98.96,72.57,11.95
221452.0,25.89,0.03,93.39,74.69,16.61
225275.0,46.03,0.84,84.27,69.68,15.15
249244.0,42.19,0.04,87.72,62.05,7.12
246578.0,35.89,0.14,87.14,66.09,11.24
209359.0,35.79,0.0,91.5,66.2,8.91
